"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101001902'"," Blitz+ Motor Box","0","0","2","0","2","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101001731'","18"" Exh Fan blade NEO GREY 1400 RPM","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24102020004'","2MFD CONDENSOR.F SUPREME(IMPORTED)","0","0","0","1","0","1","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25120480055'","56Ã¢â‚¬Â�? CIVIL STATOR","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000226'","8"" VENTILATOR DLX. -LOUVER / LINK SET","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24135000041'","ABS D/R COV. ASSY  AEROQUIET GOLD","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24135000032'","ABS D/R COV. ASSY CAR. BRN AEROQUIET","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","23701180003'","AEROSENSE IR PCB SET","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24160530004'","AEROSENSE UL BLDC LED PCB","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","23701180001'","AEROSENSE UL BLDC MAIN PCB ASSY AGG","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","23701017002'","AEROSLEEK BLDC MAIN PCB ASSY RF","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24160010025'","AEROSLIM BLDC MAIN PCB ASSEMBLY","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","23701050001'","AEROSLIM SenseIQ BLDC main PCB Ass3Color","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25207000048'","ALCHROMED ALU. BOTTOM CVR 48"" 180 DIA","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25207000556'","ALCHROMED ALU. BOTTOM CVR 56"" S.COOL","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25407000048'","ALCHROMED ALUMINIUM B/C 48"" (180 DIA)","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25407000548'","ALCHROMED ALUMINIUM B/C 48"" SUMMER COOL","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25407000556'","ALCHROMED ALUMINIUM B/C 56"" SUMMER COOL","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","28198000802'","ALT BLADE HOLDER NUT W INSERT -Z BLACK","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000479'","ARM/LEG SET - 15"" HD EXHAUST","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101002107'","Arctic Air FX Stator (AL) W Shaft  14P13","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176165003'","B.COVER ASLY-DLX.SUP.-WITH PERMAWICK","0","0","5","0","5","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176515003'","B.COVER ASLY-ROTO53-WITH PERMAWICK","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176435001'","B.COVER ASLY-WALL43-WITH PERMAWICK","0","0","8","0","8","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24155030948'","B/C PLATE ASSY AEROQUIET BLDC PRE COL-WH","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24129181048'","B/C RING FOR 48"" QUASAR ORNA. IBF GOLDEN","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24155013350'","B/COVER PLATE AEROQUIET  WOODEN","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24129042003'","B/COVER RING 48"" BLANCO MGM BRN AD 1S","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24129095003'","B/COVER RING 48"" FALCON DECO MBC","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000897'","B/CVR WITH BRG & WASHER FOR RAPID AIR WH","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101001521'","B/Cvr with Brg - Arctic air SP (1 Star)","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101001520'","B/Cvr with Brg - Arctic air Wh (1 Star)","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101001500'","B/Cvr with Brg for Rapid air Br (1 Star)","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101001280'","B/c with Brg & washer - Fiery Air White","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176165001'","BACK COVER ASSLY PORTABLE FANS NORMAL","0","0","8","0","8","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176475001'","BACK COVER ASSLY W-47 WITH PERMAWICK","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176472000'","BACK COVER M/C F WALL-47/WALL-13 PL G.BX","0","0","9","0","9","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176165010'","BACK COVER-BUSH-PERMAWICK ASSLY-HS DESK","0","0","15","0","15","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176165009'","BACK COVER-BUSH-PERMAWICK ASSLY-HS WALL","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25176185011'","BACK COVER-BUSH-PERMAWICK ASSLY-TORNADO","0","0","0","1","0","1","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24147160103'","BACK GUARD NEW F WALL-47 CRY WHITE","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24101006211'","BALL BEARING  112/6201 WITH GREASE","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24101006212'","BALL BEARING  115/6202 WITH GREASE","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24101016214'","BALL BEARING 6201 ZZ WITH GREASE","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24101016212'","BALL BEARING 6202 ZZ WITH GREASE","0","0","0","1","0","1","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24101006213'","BALL BEARING 6203 ZZ V2 WITH GREASE","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24173321503'","BASE ASSLY S-32(C.RED)","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24173320210'","BASE ASSLY S32 TRENDZ SLATE GREY","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24189250300'","BASE BLUE PPCP F ""DESK-25""","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24189271100'","BASE PPCP COMMANDER GREY F TABLE-27","0","0","2","0","2","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24189250100'","BASE-PPICP-SIGNAL WHITE-DESK 25","0","0","4","0","4","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24189270101'","BASE-PPICP-SIGNAL WHITE-TABLE 27","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25172490400'","BKT /STAND ASSLY WALL-49","0","0","2","0","2","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","25172490101'","BKT.HINGE.8S LINK.ASLY-WALL49-CR.WHT-ISI","0","0","2","0","2","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24193160010'","BLADE (ABS) COMM- GREY F T-27.W-47,S-37","0","0","2","0","2","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000750'","BLADE - 12"" HD EXHAUST (GREY-NEW)","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000477'","BLADE - 15"" HD EXHAUST","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000920'","BLADE - 15"" HD EXHAUST (GREY-OE)","0","0","1","0","1","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24193160202'","BLADE ABS SLATE GREY F TABLE27 TRENDZ","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24169120015'","BLADE ASLY-AL-12""RETROT12-RUBBED BRONZE","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","24169180006'","BLADE ASLY-AL-18""TORNADO-SILVER ANODIZED","0","0","0","1","0","1","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000894'","BLADE BOX FOR RAPID FAN","0","0","16","0","16","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","30101000172'","BLADE HOLDING NUT 8"" VENTILATOR DX.","0","0","0","0","0","0","8200459","Fans",
"OE-Bangalore","62340","S R Enterprises","ASC","ORIENT","26109001073'","BLADE INNER BOX 48 JAZZ ART","0","0","4","0","4","0","8200459","Fans",
